অঁরি	anri:1	aunry:1	onry:1	ori:1
অধ্যাত্ম	adhyatma:2	adhyatmo:2	adhyatto:1
অধ্যাদেশ	adhyadesh:2	adhdhadesh:1	odhyadesh:1
অধ্যাপক	odhyapok:2	adhyapak:1	adhyapok:1
অধ্যাপকদের	odhyapokder:2	addhapakder:1	adhyapakder:1	adhyapokder:1
অধ্যাপকের	adhdhapaker:2	adhyapaker:2	odhdhyapaker:1
অধ্যাপনা	adhyapana:2	adhdhapana:1	odhdhyapana:1	odhyapona:1
অধ্যাপনার	addhapanar:1	adhapanar:1	adhaponar:1	adhyapanar:1
অধ্যাপিকা	adhyapika:1	audhdhyapika:1	odddhapika:1	odhdhyapika:1
অধ্যুষিত	adhyushito:2	oddhushito:2	addhyushito:1
অধ্যুসিত	addhushito:1	addhyusito:1	adhyusito:1	oddhusito:1
অন	on:3
অনকে	onke:2	anke:1
অনগ্রসর	anagrasar:2	onogrosor:1
অনটন	onoton:2	anatan:1	onooton:1	onotoon:1
অনধিকার	onodhikar:2	anadhikar:1	anodhikaar:1	anodhikar:1
অননুমোদিত	ananumodito:3	ananumodita:2
অনন্ত	ananto:2	ananta:1	anonto:1	ononto:1
অনন্তকাল	anantokal:3	anantakal:2
অনন্তের	ananter:1	antarer:1	ononter:1
অনন্য	anannyo:2	ananya:2	ananna:1	ananno:1
অনন্যতা	anannata:1	anannota:1	anannyata:1	anannyota:1
অনন্যা	ananya:2	anonya:2
অনবদ্য	anabadya:3	anabadyo:2	anabadda:1	anabaddo:1
অনবরত	anabarato:2	anabaroto:2	anobarato:1	anobaroto:1
অনভিজ্ঞ	anabhigya:2	onoviggo:1
অনভিজ্ঞতার	anabhiggatar:1	anabhiggotar:1	anabhiggyatar:1	anabhiggyotar:1
অনর্গল	anargal:1	anorgal:1	onorgol:1
অনলাইন	analaina:1	analena:1	anlaain:1	anline:1
অনলাইনে	anlaine:1	anline:1	online:1	onlinee:1
অনশন	onoshon:2	anashan:1	anoshon:1
অনশনে	anashane:1	anoshone:1	onishone:1	onoshone:1
অনশনের	anashane:1	anoshoner:1	onoshoner:1	onosoner:1
অনস্বীকার্য	anaswikarja:2	anaswikarjo:2	anasikarja:1	anasikarjo:1
অনাকাঙ্ক্ষিত	anakankheeto:1	anakankhito:1	anakankkhito:1	onakangkheeto:1
অনাকাঙ্খিত	anakankhito:2	onakangkheeto:1	onakangkhito:1
অনাথ	anath:2	onath:1
অনাদিকাল	anadikal:2	onadikal:1
অনানুষ্ঠানিক	ananushthanik:1	onanusthaneek:1	onanusthanik:1
অনানুষ্ঠানিকভাবে	ananushthanikbhabe:2	onanusthaneekvabe:1	onanusthanikvabe:1
অনাবাসী	anabasi:2	onabasee:1	onabasi:1
অনাবৃত	anabrito:2	onabrito:1
অনাবৃষ্টি	anabrishti:2	onabristi:1
অনার	anara:1	hanaur:1	honour:1
অনারব	anarab:2	onarob:1
অনারারি	anarari:2	anarabi:1	hanarary:1	honorari:1
অনারারী	anahari:1	anarari:1	onararee:1	onarari:1
অনার্স	honours:1	honurs:1	onarsh:1
