آؤ	aao:3	aaoo:1	aau:1	aaw:1
آبائی	aabaaee:1	aabaai:1	aabai:1	aabaye:1
آباد	aabad:6	aabaad:4	abaad:2	abad:1
آبادکار	aabaadkaar:1	aabadkaar:1	aabadkar:1	aanadkar:1
آبادکاروں	aabadkaron:2	aabadkarun:1	aadabkaroun:1	abadkaaron:1
آبادکاری	aabadkari:2	aabadkary:1	abaadkaari:1	abadkaaree:1
آبادی	aabadi:3	abadi:3	aabaadee:1	aabadhi:1
آبادیات	aabadiat:2	abadiat:2	aabadiyat:1	abaadiat:1
آبادیاتی	aabaadiati:1	aabadiati:1	aabadiyati:1	aabadyati:1
آبادیاں	aabadian:2	aabaadiyaan:1	abadean:1
آبادیوں	aabaadiyoon:1	aabadion:1	abadeon:1	abadion:1
آبان	aaban:3	aban:1
آباو	aabao:2	aabaav:1
آبدار	aabdar:2	aabdaar:1	abdar:1
آبدوز	aabdoz:2	abdoj:1	abdoz:1	abduz:1
آبدیدہ	aabadeedah:1	aabdeeda:1	abadeedah:1	abadidah:1
آبرو	aabru:3	aabaru:1	aabro:1	aabroo:1
آبزرور	aabzaroor:1	aabzarur:1	aabzarwar:1	abjarvar:1
آبشار	aabshar:2	aabshaar:1	abshaar:1	abshar:1
آبلوں	aablon:2	aabalon:1	aabaloon:1
آبلہ	aabla:2	aablah:1	aabulah:1	ablah:1
آبلے	aablay:1	aable:1	aabley:1	able:1
آبنائے	aabnaye:2	aabnaey:1	aabnai:1	abnayae:1
آبنوس	aabnos:2	abnos:1	abnus:1
آبو	aabu:3	abu:1
آبِ	aabe:2	aabi:1	abe:1
آبپاشی	aabpashee:2	aabpashi:2	aabpaashee:1
آبگوشت	aabgosht:2	bagosht:1	bagusht:1
آبہ	aaba:3	aabah:3	abah:2
آبی	aabi:2	aabee:1	abee:1	abi:1
آبیاری	aabiari:1	aabiyaree:1	aabiyari:1	abeyari:1
آبے	aabay:2	aabe:2	abe:2	aabey:1
آتا	aata:6	aataa:2	aatha:1
آتاہے	aatahai:2	aata:1	aatahy:1	ataahai:1
آتش	aatish:4	atish:3	atash:1	atesh:1
آتشبازی	aatishbazi:1	atashbazee:1	atashbazi:1	atishbazee:1
آتشزدگی	aathidhagi:1	aathishdagi:1	aatishzadgi:1	atishzadgi:1
آتشہ	aashta:1	aashtaa:1	aatisha:1	atasha:1
آتشی	aashtee:1	aashti:1	aatishi:1	atshee:1
آتشیں	aatasheeyein:1	aatashien:1	aatishain:1	aatishein:1
آتما	aathma:1	aathmaa:1	aatma:1	atma:1
آتی	aati:3	aaty:1
آتیں	aatein:2	aatin:1	aten:1
آتے	aatay:4	aate:3	aaatay:1	atay:1
آثار	aasar:5	aasaar:2	asar:2	asaar:1
آثارِ	aasari:2	aasaare:1	aasar:1	aasare:1
آثاری	aasari:2	aacari:1	aasaree:1	aasary:1
آج	aaj:6	aj:2	aaz:1
آجا	aaja:3	aajaa:2
آجائیں	aajaein:1	aajaen:1	aajayein:1	aajayen:1
آجاتی	aajati:2	ajati:2	aajaati:1	aajaty:1
آجاتے	aajate:3	ajate:2	aajatay:1	ajaate:1
آجانا	aajana:3	aajaana:1	aajanaa:1	ajaana:1
آجانے	aajane:2	aajaanay:1	aajaane:1	ajane:1
آجایا	aajaayaa:1	aajaia:1	aajaya:1	ajaya:1
آجتک	aajtak:2	aajthak:1	aajtk:1	aaztk:1
آجر	aajir:2	aazir:1	ajar:1	azar:1
آجری	aajri:2	ajri:2	aajree:1	aajry:1
آجکے	aajkay:2	aajkey:1
آحمد	ahmad:2	ahmed:2	aahmad:1
آخبار	akhbar:2	aakhbar:1	aaqbaar:1	akhbaar:1
آخر	aakhir:2	aaqar:2	aaqer:2	aakher:1
آخرت	aakhirat:3	aakhrat:2	akhrat:2	aakhirath:1
آخري	aakhri:2	aakhree:1	aaqry:1	akhiri:1
آخرِ	aakhri:2	aakhiri:1	aakhre:1	aaqhri:1
آخرکار	akhirkar:2	aakharkar:1	aakhirakaar:1	aakhirkaar:1
آخری	aakhri:3	aakhree:2	akhree:2	akhri:2
آخوند	aakhoonad:1	aakhund:1	aakoand:1	aakwond:1
آخیر	aakheer:2	aakhir:2	aakhyr:1
آداب	aadab:5	adab:4	aadaab:2	adaab:2
آدانا	adana:2	aadaana:1	aadaanaa:1	adaana:1
آدتیہ	aditya:3	aditiya:1
آدر	aadar:3	adar:2
آدرشوں	aadarshon:2	aadarashon:1	aadarashoon:1	aadarsho:1
آدم	aadam:7	adam:4
آدمی	aadmi:4	aadmee:3	admee:2	aadamy:1
آدمیوں	aadmiyon:2	aadmeo:1	aadmeyo:1	admeewon:1
آدھ	aadh:2	aadha:1	adha:1
آدھا	aadha:2	adha:2	aadhaa:1	adhaa:1
آدھی	aadhi:3	adhi:2
آدھے	aadhe:2	aadha:1	adha:1	adhey:1
آدی	aadi:3	adi:2	aadhi:1
آذادی	aazadi:2	azadi:2	aazaadi:1	ajaadi:1
آذاں	aazan:2	aajaan:1	aazaan:1	azan:1
آذر	aazar:5	azar:3	aajar:2	aajr:1
آذربائجان	aazrbayijan:1	ajarbayeejan:1	ajarbayijan:1	azarbaijaan:1
آذری	aazari:1	aazri:1	azeri:1	azery:1
آر	aar:6	aare:1	ar:1
آرا	aara:3	ara:3	aaraa:2	arra:1
آراء	aaraa:1	aaraaa:1	aaraau:1	aarau:1
آرائش	aaraish:2	aaraas:1	aaraash:1	aaraes:1
آرائشی	aarayish:1	araeshi:1	araishi:1	araishii:1
آرائی	aaraayee:1	aaraee:1	aarai:1	aarayi:1
آرائیوں	aaraaiyon:1	aaraayon:1	araioon:1	araiun:1
آرائیں	aaraien:1	aarain:1	aarayein:1	aarayin:1
آرائے	aaraye:2	aaraae:1	aarai:1	aaraiy:1
آرارات	aararat:3	aaraarat:1
آراستہ	aarasta:1	aarastah:1	arastah:1
آرافرا	aarafiraa:1	aarafra:1	aarafraa:1	arafura:1
آرام	aaram:5	aaraam:3	aram:3
آرامی	aarami:2	aaraamee:1	aaramee:1	aarani:1
آرتمیس	aartamees:2	aartamis:1	artamees:1	artames:1
آرتھوڈوکس	orthodox:2	aarthodocs:1	aarthodoks:1
آرتی	aarti:4	aaratee:1	aarati:1	aarte:1
آرزؤں	aarzoon:2	aarzuon:1	aarzuwon:1	arjuwon:1
آرزو	aarzu:2	aarzo:1	arzoo:1	arzu:1
آرزوئے	aarzavay:1	aarzawey:1	aarzue:1	arzooaye:1
آرشیو	aarshio:2	aarshiv:1	aarshiyo:1	arsheo:1
آرم	aaram:2	aarm:2	arm:2	aram:1
آرمان	aarman:2	arman:2	aarmaan:1	armaan:1
آرمرڈ	aarmard:1	aarmered:1	armoured:1
آرمسٹرانگ	armstrong:3
آرمی	army:6	aarmee:1	aarmi:1	aarmy:1
آرمین	armin:2	armain:1	armeen:1	armian:1
آرمینیا	armenia:3	aarmeenia:1	armeeniya:1	arminia:1
آرمینیائی	aarminiayi:1	armeniyae:1	arminiayee:1	arminiyae:1
آرن	aaran:1	aaren:1	aarn:1	aarun:1
آرنلڈ	arnold:3	aarland:1	arland:1
آرون	aaron:3	aron:2	aarun:1
آروہی	aarohi:3	aarohe:1	auroohi:1
آرٹ	art:4	arat:1
آرٹس	arts:4	aarts:1	arats:1
آرٹسٹ	artist:4	aartist:2	aretist:1	artyst:1
آرٹسٹک	artistic:2	aartstk:1	arteestic:1
آرٹلری	artillery:2	aartlri:1
آرٹیکل	article:4	aarticle:1	artikle:1	aurticle:1
آرپار	aarpar:3	aarpaar:1	arpar:1
آرچ	arch:2	aarch:1
آرچر	archer:4	arachar:1
آرڈر	order:7	aarder:2
آرڈی	ardee:1	ardi:1	ordi:1	ordy:1
آرڈینس	ardeens:1	ardenace:1	ordinace:1	ordinance:1
آرڈیننس	ordinance:2	ardinnes:1	oerdinnse:1
آرڈینینس	ordinance:2	ordinence:1	ordinies:1
آرڈینیٹر	ordinator:1	ordinattor:1	ordinnator:1
آرک	ark:2	arc:1	arch:1	arche:1
آرکائیو	aarchive:1	archiive:1	archive:1	arcue:1
آرکائیوز	aarques:1	archives:1	arcues:1	arquies:1
آرکسٹرا	arcastra:1	arcestra:1	archeastra:1	archestra:1
آرکنساس	aarkansas:1	aarkensas:1	arkansas:1	arkensas:1
آرکٹک	architect:1	archtech:1	arctic:1	arctick:1
آرکیٹکچر	architecture:3	arkitecture:1
آرکیٹیکٹ	architect:2	archetict:1	arkitect:1
آرکیٹیکچرل	architectural:1	architecturul:1	arkitectural:1
آرگ	aarag:2	aarg:1	aarig:1	orag:1
آرگن	organ:3	aargan:1
آرگنائزر	organiser:2	oragnise:1	organizer:1
آرگنائزنگ	organising:4	organizing:2	arganizing:1	orgnising:1
آرگنائزیشن	organisation:2	organization:2
آرگینک	organic:4	arganic:1	organik:1
آرہ	aarah:3	aarih:1	araah:1
آرہا	aaraha:1	aarha:1	araha:1	arha:1
آرہی	aarahi:3	arahi:3	aarhi:2	aarahy:1
آرہے	aarhai:1	aarhay:1	aarhe:1	arahe:1
آریا	aarya:5	arya:3	aaryaa:2	aryaa:2
آریاؤں	aariyaon:1	aariyavon:1	aariyawon:1	aaryaon:1
آریائی	aariyaai:1	aariyaee:1	aaryaai:1	aaryai:1
آریان	ariyaan:2	aaryan:1	ariyan:1	aryan:1
آریانہ	aaryanah:1	ariyana:1	aryaana:1	aryana:1
آرین	aaryan:1	areya:1	ariya:1	arya:1
آریوں	aariyon:2	ariyon:2	aareeyun:1	aariyun:1
آرے	aare:2	aaray:1	aree:1
آزا	aaza:2	aazaa:1	auza:1
آزاد	aazad:3	azad:3	aazaad:2	azaad:2
آزادئ	aazadhee:1	aazadhi:1	aazadi:1	aazadie:1
آزادانہ	aajadanah:1	aazadana:1	aazadanah:1	aazadhanah:1
آزادي	aazadi:5	aazady:2	aazade:1	azaadee:1
آزادی	aazadi:5	aazady:2	azadi:2	azadee:1
آزادیء	aazadi:3	aazady:2	azadi:1
آزادیاں	aazadian:2	aazadean:1	aazadiyan:1	azadian:1
آزادیوں	aazadion:3	azadion:2	aazadeon:1	aazadiyon:1
آزادیِ	aazadi:3	azadi:2	aazaadee:1
آزار	aazar:1	azaad:1	azad:1	azhar:1
آزاری	aazaadi:1	aazadi:1	aazare:1	aazari:1
آزر	aazar:4	azar:3	aazra:1	aazur:1
آزردہ	aajerda:1	aazardah:1	aazerda:1	aazorda:1
آزما	aazma:4	aazmaa:4	azma:2	ajma:1
آزمائش	azmaish:2	aazmaesh:1	aazmaish:1	azmaysh:1
آزمائشی	aazmayishi:1	ajmayishi:1	azmayishee:1	azmayishi:1
آزمائشیں	aazmaaish:1	aazmaish:1	aazmayeshen:1	aazmayishen:1
آزمائی	aazmaai:1	aazmaye:1	aazmayi:1	azmaye:1
آزمانے	aazmaane:1	aazmae:1	aazmanay:1	aazmaye:1
آزمایا	aazmaya:3	azmaya:2	aazmaaya:1
آزمودہ	aazmuda:1	aazmudah:1	azmodah:1	azmudah:1
آس	aas:4	as:1	ass:1	ayes:1
آسا	aasa:3	aasaa:1	asaa:1
آسائش	aasaish:3	aasaesh:2	aasaash:1	aasayesh:1
آسائشوں	aasaishon:2	aasaashon:1	aasyishon:1	asaisho:1
آسام	aasaam:2	aasam:2	asaam:2	asam:2
آسامی	aasami:1	asaami:1	asaamy:1	asami:1
آسان	aasan:4	asaan:2	aasani:1	asani:1
آسانی	aasani:3	aasane:1	aasanee:1	asani:1
آساوری	aasaawri:1	aasaawry:1	aasaori:1	aasauri:1
آساں	aasan:3	aasaan:1	asaan:1	asan:1
آستانوں	aastaanoan:1	aastanaon:1	aastano:1	aastanon:1
آستانہ	aastana:2	aastaana:1	aastanah:1	aastaneh:1
آستانے	aastanay:2	aastane:2	aastaney:1	astane:1
آستاں	aastan:2	asataan:1	asatan:1	astaan:1
آستر	aaster:2	aastar:1	aastor:1	astar:1
آستین	aastean:1	aasteen:1	asteen:1	astin:1
آستینیں	aasteenain:1	aasteenein:1	aastinen:1	astinen:1
آستے	aastay:1	aaste:1	aastey:1	astay:1
آسرا	aasra:2	asra:2	asraa:1
آسما	aasma:2	asma:2	asmaa:1
آسمان	aasman:2	asmaan:2	asman:2	aasmaan:1
آسمانوں	aasmanon:2	aasmano:1	aasmanun:1	asamaanun:1
آسمانِ	asmani:2	aasmane:1	aasmani:1	asmanee:1
آسمانی	asmani:2	aasmani:1	asmaani:1	asmany:1
آسماں	aasman:3	aasmaan:1	asman:1
آسو	aaso:2	aasoo:1	aasu:1	aso:1
آسودگی	aasodgee:1	aasodgi:1	aasoodhagi:1	aasudhagi:1
آسودہ	aasodah:1	aasoodah:1	aasudah:1	asudah:1
آسٹرو	aastro:1	astro:1	austro:1
آسٹریا	austria:5	aastria:1	astariya:1	asteria:1
آسٹریائی	austariyayi:1	austeriyayi:1	austrian:1	austriayi:1
آسٹریلوی	austrailvi:1	austrailwee:1	austrailwi:1	australivee:1
آسٹریلیا	australia:3	aastrelia:1	austrelia:1
آسٹریلیائی	austarliyaai:1	australiayayi:1	australiayi:1	australiyaae:1
آسٹریلیشیا	australasia:2	aastraliashia:1	australiashia:1
آسٹریلین	australian:2	aastrailian:1	austraileen:1	austrailian:1
آسٹرین	austrian:3	astreen:1	astrin:1	austriyan:1
آسٹن	austin:2	aastan:1	aastin:1	astin:1
آسکانی	aaskaani:1	aaskani:1	askanee:1	askani:1
آسکتے	aasaktay:1	asaktay:1	asakte:1	askatay:1
آسکر	oscar:3	aaskar:2	aaskur:1	askar:1
آسکرز	askars:2	oscars:2	askers:1
آسکی	aaski:3	aaske:1	askee:1	aski:1
آسکے	aasakay:1	aaskay:1	aaske:1	asakee:1
آسی	aasi:2	asi:2	aasee:1	asee:1
آسیان	aasiyaan:1	aasyaan:1	aasyan:1	asiyaan:1
آسیہ	aasiyah:2	aasiya:1	aasyah:1	asiya:1
آشا	aasha:2	asha:2	aashaa:1	ashaa:1
آشتی	aashti:3	aashte:1	aashtee:1	ashti:1
آشرم	aashram:1	ashram:1	ashrum:1
آشفتہ	aashafta:1	aashfata:1	aashphata:1	aashufta:1
آشنا	aashna:2	aashnaa:1	ashna:1	ashnaa:1
آشنائی	aashinaye:1	aashnai:1	aashnayee:1	aashnayi:1
آشوب	aashob:4	aashub:4	aashoob:2	ashob:2
آشوبِ	aashobe:1	aashobi:1	aashubi:1	ashobe:1
آشور	aashoor:2	aashur:2	ashoor:2	ashuur:2
آشوری	aashoori:1	aashurii:1	aashuuri:1	aashuurii:1
آشکار	aashkaar:1	aashkar:1	ashkaar:1	ashqaar:1
آشکارا	aashkara:2	aashkaara:1	aashkaaraa:1	ishkara:1
آشیانہ	aashiana:1	aashiyana:1	aashiyanh:1	aashyanah:1
آشیانے	aashiyaanay:1	aashiyaane:1	aashyane:1	ashiaanay:1
آشیاں	aashian:1	aashiyaan:1	aashiyan:1	aashyan:1
آشیر	aasheer:3	aashir:2	aasher:1	asheer:1
آشیرباد	aasheerbaad:1	aashiirbaad:1	aashirbaad:1	aashirbad:1
آصف	aasif:5	asif:5	aasaf:1	aasiph:1
آصفہ	aasefa:1	aasefah:1	aasifa:1	aasifah:1
آصفیہ	aasafiya:1	aasfia:1	aasfiyah:1
آغا	aagha:5	aaga:2	agha:2	aaghaa:1
آغاز	aagaaz:3	aaghaaz:3	aagaz:2	aaghaz:2
آغازِ	aaghaze:2	aaghaz:1	aaghazi:1
آغوش	aagosh:3	aaghosh:1	aghosh:1	agosh:1
آف	aaf:4	off:4	of:3	aff:1
آفات	afaat:3	afat:2	aafaat:1	aafat:1
آفاق	afaaq:2	aafaaq:1	aafak:1	aafaq:1
آفاقی	aafaqi:4	aafaqy:3	aafakee:1	aafaqe:1
آفت	afat:2	aafat:1	aft:1
آفتاب	aaftab:2	aftab:2	aaftaab:1	aftaab:1
آفتابِ	aftabi:2	aaftaabe:1	aaftabe:1	aftaabe:1
آفتیں	aafatain:1	aaftean:1	aaftein:1	aftee:1
آفر	aaffer:1	offer:1	offor:1
آفراد	afrad:3	aafrad:1	afraad:1
آفریدہ	aafridah:3	afridah:2	aafreedah:1	aafrida:1
آفریدی	afridi:6	aafridi:4	aafreedi:1	afridee:1
آفرین	afreen:3	aafareen:2	aafreen:2	aafrin:2
آفرینش	aafrensh:1	aafrinsh:1	afreensh:1	afrinash:1
آفرینی	aafreni:1	aafrini:1	aafriny:1	aapfriny:1
آفریں	aafareen:1	aafree:1	aafreyn:1	afreein:1
آفس	office:2	aafis:1	offiece:1	offs:1
آفسر	afsar:3	aafsar:1	afser:1	afsir:1
آفسران	afsaraan:2	aafssaran:1	affsaran:1	officeran:1
آفسیر	officer:2	afseer:1
آفسیٹ	offset:4	aafset:1
آفندی	aafandi:1	afaandi:1	afandee:1	afandi:1
آفیسر	officer:2	aaficer:1	aafisar:1
آفیشل	official:3	afishal:1
آفیشیل	official:3
آق	aaq:2	aak:1	aakh:1	ak:1
آقا	aaqa:6	aqa:2	aaka:1	aakha:1
آقائی	aaqaaee:1	aaqai:1	aaqaye:1	aaqayi:1
آقائے	aaqaaey:1	aaqaai:1	aaqayae:1	aaqaye:1
آكر	aakar:1	aaker:1	occur:1
آل	aal:6	all:3	al:1	aul:1
آلائشوں	aalaaishon:1	aalaishon:1	aalayishon:1	alaishon:1
آلات	aalat:2	alat:2	aalaat:1	alaat:1
آلاتِ	aalate:2	aalaat:1	aalat:1	aalatt:1
آلاتی	aalati:2	aalaatee:1	aalaati:1	aalatee:1
آلتی	aalthi:2	aalatee:1	aalati:1	aalithi:1
آله	alah:3	aalah:2	alaah:1
آلو	aalu:3	aaloo:2	aalo:1	aloo:1
آلوؤں	aaluon:2	aaloun:1	aluwon:1
آلود	aalud:4	aalood:3	aalod:1	alood:1
آلودگی	aaloodgi:2	aaludgi:1	aaludi:1	aloodgi:1
آلودہ	aaloodah:2	aaludah:2	aalodah:1	aalud:1
آلِ	aali:1	ale:1	alee:1	ali:1
آلٹرنیٹر	alternator:3
آلٹو	aalto:2	alto:2
آلہ	alah:3	aalah:2
آلیا	aalia:2	aalea:1	aaliya:1
آلیہ	aalia:2	aliya:1
آلے	aale:2	aalay:1	aley:1	aly:1
آم	aam:3
آماجگاہ	aamajgah:2	aamajagah:1	aamajigaah:1
آمادگی	aamadgi:2	aamaadgee:1	aamadgy:1
آمادہ	aamadah:6	aamaduh:1	amadah:1
آمد	aamad:6	amad:2	aamed:1
آمدن	aamadan:1	aamdan:1	aamdanee:1	aamdani:1
آمدنی	aamadani:1	aamadni:1	aamadny:1	aamdani:1
آمدی	aamdi:2	aamadi:1	aamidie:1	amadi:1
آمدید	aamdeed:2	aamadid:1	aamdid:1	amadeed:1
آمر	aamir:4	amir:4	aamar:1	aameer:1
آمرانہ	aamirana:1	aamranah:1	amirana:1	amraanah:1
آمروں	aamiron:1	aamroun:1	amiron:1	amron:1
آمروہی	aamrohi:2	amrohi:2	aamrohee:1	aamruhi:1
آمری	aamri:3	amri:2	aamree:1
آمریت	aamreet:1	aamreeth:1	aamrit:1	amareet:1
آملا	aamla:2	aamilaa:1	amala:1	amalaa:1
آملہ	aamilah:1	aamla:1	aamlah:1	aamlha:1
آملی	aamili:2	aamli:2
آمن	aaman:1	aamin:1	aamun:1	aman:1
آمنا	aamna:2	aamana:1	aaminaa:1
آمنہ	aamnah:2	aamnha:1	aamnih:1	amina:1
آمنے	aamne:3	aamnay:2	aamney:1
آموز	aamoz:2	aamuz:1	amooj:1	amooz:1
آموزش	aamozish:2	aamozash:1	amojish:1	amozish:1
آمون	aamon:2	aamun:2	amon:1	amoon:1
آمیز	aamez:2	aamiz:1	amase:1	ameez:1
آمیزش	aamezash:2	aamezish:1	aamizash:1	almeezash:1
آمیزہ	aamezah:2	aamizah:1	almeezah:1	amezah:1
آمین	aamen:2	aamin:2	amen:2	ameen:1
آن	aan:6	an:3
آنا	aana:6	aanaa:3	ana:2
آناً	aanan:2	anan:2	aan:1
آنتوں	anton:3	aanton:1
آنجناب	aanjanab:2	aanjanaab:1	aanjnab:1
آنحضرت	aanhazrat:3	aanhajrzt:1
آنحضور	aanhuzoor:2	aanhazoor:1	aanhuzur:1	anhazoor:1
آندا	aanda:2	aandaa:2
آندری	andry:2	aandree:1	aandry:1
آندرے	aandray:2	aandre:1	aandrey:1	andre:1
آندولن	aandolan:2	andolan:2
آندھرا	andhra:5	aandhra:3	andhera:1	andheyra:1
آندھی	aandhi:3	andhi:2	aandhee:1	andhee:1
آندی	aandi:3	aandy:2	aandee:1
آنر	honour:2	aanar:1	aanur:1
آنرز	aanraz:1	aanruz:1	anraz:1	honors:1
آنس	aans:3	aanss:1	ans:1
آنسو	aansu:5	aanso:2	ansu:1
آنسوئوں	aansoyon:1	aasuyon:1	anoyon:1	ansuyon:1
آنسووں	aansuoan:1	aansuon:1	aansuvon:1	aansuwon:1
آنلائن	online:2	aanlain:1	aanlayan:1
آنند	aanand:3	anand:2	aananda:1	ananda:1
آنندی	anandi:3	aanandi:1	anandee:1
آنچ	aanch:3	anch:1
آنچل	anchal:2	aanchal:1	anchl:1	onchal:1
آنچلوں	aanchalon:1	aanchaloon:1	anchlun:1
آنچہ	anchah:2	aancha:1	ancha:1	anchaa:1
آنکھ	ankh:2	aankh:1	ank:1
آنکھوں	ankhon:3	aankhen:1	aankhin:1	aankho:1
آنکھیں	aankhein:2	aankhain:1	aankhen:1
آنگ	aang:3	ang:1
آنگن	aangan:3	angan:1
آنہ	aanah:4	aana:3	anah:2	ana:1
آنی	aani:2	ani:2	aanee:1	anni:1
آنے	aanay:4	aane:3	ane:2
آهسته	aahistah:2	aahastah:1	aaheestah:1	ahistaa:1
آهن	aahan:3	ahan:3
آو	aao:4	aau:1	ao:1	au:1
آواران	awaran:2	aavaaraan:1	aavaran:1	aawaaraan:1
آوارہ	aawarah:2	aawaarah:1	aawara:1	awara:1
آواز	awaz:3	aawaz:2	aawaaz:1	awaaz:1
آوازوں	aawazon:2	avazon:1	awazo:1	awazon:1
آوازِ	aawaz:1	aawze:1	avazi:1	awaz:1
آوازی	aawazi:3	aavazi:1	avazi:1	awazi:1
آوازیں	aawazain:2	aavazain:1	aawaazain:1	aawazei:1
آوازے	aawazay:2	aavazay:1	aawazey:1	avazay:1
آوان	aavan:2	aawan:2	awan:2
آور	aawar:4	aur:2	aaur:1	aawr:1
آورد	aaward:2	avard:1	award:1
آوردہ	aawardah:3	avardah:1
آوروں	aawaron:2	aavarun:1	awaron:1
آوری	aawari:2	auri:2	aaory:1	aawaree:1
آوی	aawi:2	aaoi:1	aawy:1
آویزاں	aawezan:2	avizan:1	awezan:1
آویں	aawain:1	aawein:1	avin:1	awen:1
آوے	aaway:1	aawe:1	away:1
آيا	aaya:3
آيات	aayat:3	ayat:1
آٹا	aata:2	ata:1	auta:1	lendar:1
آٹو	auto:3
آٹوموٹو	automoto:2	automotive:1
آٹومیٹک	automatic:3
آٹوکیڈ	autocad:3
آٹھ	aath:6	ath:1
آٹھواں	aathwan:2	aathvaan:1	aathwaan:1
آٹھویں	aathwein:3	aathven:1	aathwen:1
آٹے	ate:2	aatay:1	aate:1	ait:1
آپ	aap:7	ap:1
آپريشن	operation:2	opration:1
آپریشن	operation:2	opration:1
آپریشنز	operationez:1	operations:1	operationz:1
آپریشنل	operational:3
آپریشنوں	operationon:2	operationoon:1
آپریٹ	operate:3	aopret:1	opraate:1	oprate:1
آپریٹر	operator:4	opreter:1
آپریٹرز	operators:2	opraters:1	oprators:1
آپریٹنگ	operating:3	auperating:1	oprating:1
آپس	aapas:2	aapis:1	aaps:1	apas:1
آپسی	aapasi:1	aapsi:1	aapsy:1	apsy:1
آپنے	aapnay:2	apne:2	aapne:1
آپٹیکل	optical:2	opticle:1
آپکا	aapka:3	aapca:1	apka:1
آپکی	aapkee:1	aapki:1	apki:1	apky:1
آپکے	aapkay:3	aapke:1	aapkey:1	apke:1
آپہنچا	aaphoncha:1	aapohncha:1	aapohnchaa:1	apahancha:1
آپہنچے	aapahunche:1	aaphonchay:1	aapohnchay:1	aapohnche:1
آچاریہ	aachaaryah:1	aacharya:1	achaarya:1	achariya:1
آڈر	order:2	odar:1
آڈٹ	audit:2	adat:1
آڈھا	aadha:2	aadhaa:1	adha:1
آڈیشن	audition:3
آڈینس	audience:3
آڈیو	audio:7	adio:1
آڈیٹر	auditor:2	editor:2	voditor:1
آڑ	aad:4	aar:2	add:1	ar:1
آڑو	aadhoo:1	aaru:1	adhu:1	arhoo:1
آڑھی	adhi:2	aadhi:1	aarhi:1	adhee:1
آڑی	aadi:2	aady:1	audi:1
آڑے	ade:2	aaday:1	aaray:1	aarhe:1
آکاش	akash:2	aakaash:1	aakash:1	akaash:1
آکر	aakar:3	akar:2
آکسائڈ	oxide:2	aaksaid:1	aaksaud:1
آکسائیڈ	oxide:3	aaksauid:1	oxiede:1	oxyde:1
آکسفرڈ	oxford:3
آکسفورڈ	oxford:4	oxfourd:1
آکسی	oxy:2	aaksi:1	aksi:1	aksy:1
آکسیجن	oxygen:3
آکل	aakal:2	akal:1	akall:1	ikall:1
آکٹوپس	octopus:4	oktopus:1
آکھن	aakhan:3	akhan:3	aakhen:1
آگ	aag:3	ag:1	aug:1
آگئ	aagaee:1	aagayi:1	agai:1
آگئی	aagayi:3	aagaee:1	aage:1	aagey:1
آگئیں	aagayein:1	aagayen:1	aagein:1	aagen:1
